Q29ubm9yIENhcnI=,,,,,
4,,,,,
SNR, Next SNR, Value1, Value2, Value3, Value4
-12,-11.9,3.24,3.31,3.04,3.19
-11.9,-11.8,3.26,3.34,3.07,3.21
-11.8,-11.7,3.29,3.37,3.1,3.24
-11.7,-11.6,3.32,3.39,3.13,3.27
-11.6,-11.5,3.35,3.42,3.15,3.3
-11.5,-11.4,3.37,3.45,3.18,3.32
-11.4,-11.3,3.4,3.48,3.21,3.35
-11.3,-11.2,3.43,3.5,3.23,3.38
-11.2,-11.1,3.45,3.53,3.26,3.4
-11.1,-11,3.48,3.56,3.29,3.43
-11,-10.9,3.51,3.59,3.31,3.46
-10.9,-10.8,3.54,3.61,3.34,3.49
-10.8,-10.7,3.56,3.64,3.37,3.51
-10.7,-10.6,3.59,3.67,3.4,3.54
-10.6,-10.5,3.62,3.7,3.42,3.57
-10.5,-10.4,3.65,3.73,3.45,3.6
-10.4,-10.3,3.68,3.75,3.48,3.62
-10.3,-10.2,3.7,3.78,3.51,3.65
-10.2,-10.1,3.73,3.81,3.53,3.68
-10.1,-10,3.76,3.84,3.56,3.71
-10,-9.9,3.79,3.86,3.59,3.74
-9.9,-9.8,3.81,3.89,3.62,3.76
-9.8,-9.7,3.84,3.92,3.64,3.79
-9.7,-9.6,3.87,3.95,3.67,3.82
-9.6,-9.5,3.9,3.98,3.7,3.85
-9.5,-9.4,3.93,4.01,3.73,3.88
-9.4,-9.3,3.96,4.03,3.76,3.9
-9.3,-9.2,3.98,4.06,3.78,3.93
-9.2,-9.1,4.01,4.09,3.81,3.96
-9.1,-9,4.04,4.12,3.84,3.99
-9,-8.9,4.07,4.15,3.87,4.02
-8.9,-8.8,4.1,4.18,3.9,4.04
-8.8,-8.7,4.12,4.2,3.92,4.07
-8.7,-8.6,4.15,4.23,3.95,4.1
-8.6,-8.5,4.18,4.26,3.98,4.13
-8.5,-8.4,4.21,4.29,4.01,4.16
-8.4,-8.3,4.24,4.32,4.04,4.19
-8.3,-8.2,4.27,4.35,4.06,4.21
-8.2,-8.1,4.3,4.37,4.09,4.24
-8.1,-8,4.32,4.4,4.12,4.27
-8,-7.9,4.35,4.43,4.15,4.3
-7.9,-7.8,4.38,4.46,4.18,4.33
-7.8,-7.7,4.41,4.49,4.21,4.36
-7.7,-7.6,4.44,4.52,4.23,4.39
-7.6,-7.5,4.47,4.55,4.26,4.41
-7.5,-7.4,4.5,4.58,4.29,4.44
-7.4,-7.3,4.57,4.65,4.35,4.51
-7.3,-7.2,4.61,4.69,4.39,4.55
-7.2,-7.1,4.68,4.76,4.45,4.62
-7.1,-7,4.73,4.81,4.52,4.67
-7,-6.9,4.76,4.84,4.55,4.7
-6.9,-6.8,4.79,4.87,4.58,4.73
-6.8,-6.7,4.82,4.9,4.61,4.76
-6.7,-6.6,4.85,4.93,4.64,4.79
-6.6,-6.5,4.88,4.98,4.67,4.82
-6.5,-6.4,4.93,5.04,4.7,4.87
-6.4,-6.3,4.99,5.11,4.75,4.94
-6.3,-6.2,5.09,5.19,4.81,5
-6.2,-6.1,5.13,5.22,4.9,5.07
-6.1,-6,5.16,5.25,4.94,5.1
-6,-5.9,5.19,5.28,4.97,5.14
-5.9,-5.8,5.23,5.31,5,5.17
-5.8,-5.7,5.26,5.34,5.03,5.2
-5.7,-5.6,5.29,5.38,5.06,5.23
-5.6,-5.5,5.32,5.41,5.1,5.26
-5.5,-5.4,5.35,5.44,5.13,5.29
-5.4,-5.3,5.38,5.47,5.16,5.32
-5.3,-5.2,5.41,5.5,5.19,5.36
-5.2,-5.1,5.44,5.53,5.22,5.39
-5.1,-5,5.48,5.56,5.25,5.42
-5,-4.9,5.51,5.59,5.28,5.45
-4.9,-4.8,5.54,5.62,5.32,5.48
-4.8,-4.7,5.57,5.65,5.35,5.51
-4.7,-4.6,5.6,5.68,5.38,5.54
-4.6,-4.5,5.63,5.71,5.41,5.57
-4.5,-4.4,5.66,5.74,5.44,5.6
-4.4,-4.3,5.69,5.77,5.47,5.64
-4.3,-4.2,5.72,5.8,5.5,5.67
-4.2,-4.1,5.75,5.83,5.53,5.7
-4.1,-4,5.78,5.86,5.56,5.73
-4,-3.9,5.81,5.89,5.6,5.76
-3.9,-3.8,5.84,5.92,5.63,5.79
-3.8,-3.7,5.87,5.95,5.66,5.82
-3.7,-3.6,5.9,5.98,5.69,5.85
-3.6,-3.5,5.93,6.01,5.72,5.88
-3.5,-3.4,5.96,6.04,5.75,5.9
-3.4,-3.3,5.99,6.07,5.78,5.93
-3.3,-3.2,6.01,6.09,5.81,5.96
-3.2,-3.1,6.04,6.12,5.84,5.99
-3.1,-3,6.07,6.15,5.87,6.02
-3,-2.9,6.1,6.18,5.9,6.05
-2.9,-2.8,6.13,6.2,5.93,6.08
-2.8,-2.7,6.15,6.23,5.95,6.1
-2.7,-2.6,6.18,6.26,5.98,6.13
-2.6,-2.5,6.21,6.29,6.01,6.16
-2.5,-2.4,6.24,6.31,6.04,6.19
-2.4,-2.3,6.26,6.34,6.07,6.21
-2.3,-2.2,6.29,6.37,6.1,6.24
-2.2,-2.1,6.32,6.39,6.12,6.27
-2.1,-2,6.35,6.42,6.15,6.3
-2,-1.9,6.37,6.45,6.18,6.32
-1.9,-1.8,6.4,6.48,6.21,6.35
-1.8,-1.7,6.43,6.5,6.23,6.38
-1.7,-1.6,6.46,6.53,6.26,6.41
-1.6,-1.5,6.48,6.56,6.29,6.43
-1.5,-1.4,6.51,6.59,6.32,6.46
-1.4,-1.3,6.54,6.61,6.34,6.49
-1.3,-1.2,6.57,6.64,6.37,6.52
-1.2,-1.1,6.59,6.67,6.4,6.54
-1.1,-1,6.62,6.69,6.42,6.57
-1,-0.9,6.65,6.72,6.45,6.6
-0.9,-0.8,6.67,6.74,6.48,6.62
-0.8,-0.7,6.7,6.76,6.51,6.65
-0.7,-0.6,6.72,6.79,6.54,6.68
-0.6,-0.5,6.75,6.81,6.56,6.7
-0.5,-0.4,6.77,6.83,6.59,6.73
-0.4,-0.3,6.79,6.85,6.62,6.75
-0.3,-0.2,6.81,6.87,6.64,6.77
-0.2,-0.1,6.84,6.9,6.67,6.8
-0.1,0,6.86,6.92,6.69,6.82
0,0.1,6.88,6.94,6.72,6.84
0.1,0.2,6.9,6.96,6.74,6.86
0.2,0.3,6.92,6.98,6.77,6.88
0.3,0.4,6.94,7,6.79,6.9
0.4,0.5,6.96,7.03,6.82,6.93
0.5,0.6,6.99,7.05,6.83,6.95
0.6,0.7,7.01,7.07,6.85,6.97
0.7,0.8,7.03,7.09,6.88,6.99
0.8,0.9,7.05,7.11,6.9,7.01
0.9,1,7.07,7.14,6.92,7.03
1,1.1,7.1,7.16,6.94,7.06
1.1,1.2,7.12,7.18,6.96,7.08
1.2,1.3,7.14,7.2,6.98,7.1
1.3,1.4,7.16,7.22,7.01,7.12
1.4,1.5,7.18,7.24,7.03,7.14
1.5,1.6,7.2,7.26,7.05,7.17
1.6,1.7,7.22,7.28,7.07,7.19
1.7,1.8,7.24,7.3,7.09,7.21
1.8,1.9,7.26,7.32,7.12,7.23
1.9,2,7.28,7.34,7.14,7.25
2,2.1,7.3,7.36,7.16,7.27
2.1,2.2,7.32,7.37,7.18,7.29
2.2,2.3,7.34,7.39,7.2,7.31
2.3,2.4,7.36,7.4,7.22,7.33
2.4,2.5,7.38,7.41,7.24,7.35
2.5,2.6,7.39,7.42,7.26,7.36
2.6,2.7,7.41,7.4,7.28,7.38
2.7,2.8,7.42,7.51,7.3,7.39
2.8,2.9,7.41,7.56,7.32,7.41
2.9,3,7.41,7.58,7.34,7.42
3,3.1,7.53,7.59,7.36,7.41
3.1,3.2,7.56,7.61,7.37,7.42
3.2,3.3,7.58,7.63,7.39,7.55
3.3,3.4,7.6,7.65,7.4,7.57
3.4,3.5,7.62,7.67,7.42,7.58
3.5,3.6,7.64,7.68,7.42,7.6
3.6,3.7,7.65,7.7,7.4,7.62
3.7,3.8,7.67,7.72,7.53,7.64
3.8,3.9,7.69,7.73,7.56,7.66
3.9,4,7.7,7.75,7.58,7.67
4,4.1,7.72,7.76,7.59,7.69
4.1,4.2,7.74,7.78,7.61,7.71
4.2,4.3,7.75,7.79,7.63,7.72
4.3,4.4,7.77,7.81,7.65,7.74
4.4,4.5,7.78,7.82,7.67,7.75
4.5,4.6,7.8,7.83,7.69,7.77
4.6,4.7,7.81,7.84,7.7,7.78
4.7,4.8,7.82,7.85,7.72,7.8
4.8,4.9,7.83,7.89,7.73,7.81
4.9,5,7.84,7.9,7.75,7.82
5,5.1,7.85,7.91,7.77,7.83
5.1,5.2,7.89,7.92,7.78,7.85
5.2,5.3,7.9,7.93,7.79,7.88
5.3,5.4,7.91,7.94,7.81,7.89
5.4,5.5,7.92,7.94,7.82,7.9
5.5,5.6,7.93,7.95,7.83,7.91
5.6,5.7,7.94,7.95,7.84,7.92
5.7,5.8,7.94,7.96,7.85,7.93
5.8,5.9,7.95,7.97,7.89,7.94
5.9,6,7.96,7.97,7.9,7.95
6,6.1,7.97,7.98,7.91,7.95
6.1,6.2,7.97,7.98,7.92,7.96
6.2,6.3,7.98,7.99,7.93,7.97
6.3,6.4,7.98,7.99,7.94,7.97
6.4,6.5,7.98,7.99,7.94,7.98
6.5,6.6,7.99,7.99,7.95,7.98
6.6,6.7,7.99,7.99,7.96,7.98
6.7,6.8,7.99,8,7.97,7.99
6.8,6.9,7.99,8,7.97,7.99
6.9,7,7.99,8,7.97,7.99
7,7.1,8,8,7.98,7.99
7.1,7.2,8,8,7.98,8
7.2,7.3,8,8,7.99,8
7.3,7.4,8,8,7.99,8
7.4,7.5,8,8,7.99,8
7.5,7.6,8,8,7.99,8
7.6,7.7,8,8,7.99,8
7.7,7.8,8,8,8,8
