Time,BS_ID,BS_LOC_X,BS_LOC_Y,ANT_ID,ANT_SEC,TRX_ID,TRX_X,TRX_Y,TRX_ANG,UE_ID,UE_LOC_X,UE_LOC_Y,MAX_DR,DEMAND_DR,REAL_DR,BS_Tran_SNR,UE_Rec_SNR
0,0,0,0,0,0,99,0.25,0.387,0,0,0.908945,-1.33196,159,53,53,1.31805e-13,3.95415e-13
0,0,0,0,0,0,98,0.25,-0.387,0,1,0.829058,0.867562,160,11,11,2.06995e-13,6.20984e-13
0,0,0,0,0,0,97,0.25,0.37926,0,2,3.09005,3.49885,111,22,22,9.27958e-15,2.78387e-14
0,0,0,0,0,0,96,0.25,-0.37926,0,3,1.84501,0.109194,158,68,68,1.00637e-13,3.0191e-13
0,0,0,0,0,0,95,0.25,0.37152,0,4,1.4518,-0.0550997,160,17,17,1.5775e-13,4.7325e-13
0,0,0,0,0,0,94,0.25,-0.37152,0,5,2.02141,-0.424261,156,155,155,7.8544e-14,2.35632e-13
0,0,0,0,0,0,93,0.25,0.36378,0,6,1.12179,0.426128,160,12,12,2.06995e-13,6.20984e-13
0,0,0,0,0,0,92,0.25,-0.36378,0,7,0.882556,-0.813078,160,121,121,2.06995e-13,6.20984e-13
0,0,0,0,0,0,91,0.25,0.35604,0,8,0.874773,0.821446,160,1,1,2.06995e-13,6.20984e-13
0,0,0,0,0,0,90,0.25,-0.35604,0,9,3.10382,2.29605,123,67,67,1.4959e-14,4.48769e-14
0,0,0,0,0,0,89,0.25,0.3483,0,10,1.37408,-0.867933,159,53,53,1.29914e-13,3.89742e-13
0,0,0,0,0,0,88,0.25,-0.3483,0,11,0.983576,0.687444,160,99,99,2.06995e-13,6.20984e-13
0,0,0,0,0,0,87,0.25,0.34056,0,12,3.61968,-0.274,127,52,52,1.76397e-14,5.29191e-14
0,0,0,0,0,0,86,0.25,-0.34056,0,13,3.88025,-0.680438,122,70,70,1.41851e-14,4.25552e-14
0,0,0,0,0,0,85,0.25,0.33282,0,14,3.22563,-0.841674,133,18,18,2.22587e-14,6.6776e-14
0,0,0,0,1,120,99,-0.460152,0.0230063,0,15,-1.18782,1.46666,158,129,129,9.62252e-14,2.88675e-13
0,0,0,0,1,120,98,0.210152,0.410006,0,16,-3.17295,2.32953,122,63,63,1.42151e-14,4.26452e-14
0,0,0,0,1,120,97,-0.453449,0.0268763,0,17,-0.932921,0.754757,160,93,93,2.06995e-13,6.20984e-13
0,0,0,0,1,120,96,0.203449,0.406136,0,18,-2.51986,1.84341,136,64,64,2.66713e-14,8.00138e-14
0,0,0,0,1,120,95,-0.446746,0.0307463,0,19,-0.581671,1.0496,160,107,107,2.06995e-13,6.20984e-13
0,0,0,0,1,120,94,0.196746,0.402266,0,20,0.497566,1.09198,160,107,107,2.06995e-13,6.20984e-13
0,0,0,0,1,120,93,-0.440043,0.0346163,0,21,-1.29354,0.102767,160,126,126,1.86842e-13,5.60527e-13
0,0,0,0,1,120,92,0.190043,0.398396,0,22,0.433937,3.34088,132,23,23,2.16231e-14,6.48692e-14
0,0,0,0,1,120,91,-0.43334,0.0384863,0,23,-0.35543,1.30163,160,148,148,1.76744e-13,5.30231e-13
0,0,0,0,1,120,90,0.18334,0.394526,0,24,-0.781613,4.2636,116,2,2,1.1108e-14,3.3324e-14
0,0,0,0,1,120,89,-0.426637,0.0423563,0,25,0.225154,4.9224,107,71,71,8.18769e-15,2.45631e-14
0,0,0,0,1,120,88,0.176637,0.390656,0,26,0.756817,1.64772,159,151,151,1.04763e-13,3.14289e-13
0,0,0,0,1,120,87,-0.419934,0.0462263,0,27,0.146319,1.6818,159,91,91,1.20912e-13,3.62737e-13
0,0,0,0,1,120,86,0.169934,0.386786,0,28,0.00956705,3.49742,129,68,68,1.95161e-14,5.85482e-14
0,0,0,0,1,120,85,-0.413231,0.0500963,0,29,-0.126734,3.1251,136,118,118,2.65417e-14,7.9625e-14
0,0,0,0,2,240,99,0.210152,-0.410006,0,30,0.206104,-1.18217,160,88,88,2.06995e-13,6.20984e-13
0,0,0,0,2,240,98,-0.460152,-0.0230064,0,31,0.00904419,-1.19997,160,25,25,2.06995e-13,6.20984e-13
